name,summary,job_link,company_description,industry,size,founded,specialities
AutoLeap,"Modern auto repair shop management software that helps you grow, is easy to use, and builds customer trust.",https://www.linkedin.com/jobs/autoleap-jobs-worldwide?f_C=68194053&trk=top-card_top-card-primary-button-top-card-primary-cta,"AutoLeap is a cloud-based auto repair shop management software, committed to empowering auto shop owners to drive their businesses into the fast lane. Our platform is meticulously designed to modernize every facet of the auto repair shop experience, from workflow management to parts ordering, customer communication, and more. With a strong presence in the auto repair industry, AutoLeap is trusted by a growing community of over 1,000 shops across the United States and Canada.

If you're interested in joining our dynamic team, explore career opportunities here: https://autoleap.com/careers/

To witness how AutoLeap can transform your shop and help it thrive, get a free demo at: https://tinyurl.com/yc88t3dk

For the latest investment news and financial updates about AutoLeap, visit our Crunchbase profile: https://www.crunchbase.com/organization/autoleap.",Software Development,51-200 employees,2019,"Shop Management Software, Workflow management , Estimates, Invoices, Multi-location, Auto Repair, Payments, Appointments & Reminders, Technician App, Scheduling, QuickBooks Integration, Reports & Dashboards, Customer Communication, Work Board, Digital Vehicle Inspection, Marketing, Inventory Management, Live Customer Chat, Fleet Management, Google Reviews, and auto repair shop management software"
WorkWave,The Leader in Cloud-Based Field Service and Fleet Management Solutions for Companies With a Mobile Workforce.,https://www.linkedin.com/jobs/workwave-jobs-worldwide?f_C=213943&trk=top-card_top-card-primary-button-top-card-primary-cta,"Founded in 1984, WorkWave empowers field service businesses of all sizes with forward-looking technology and services so they can focus on reaching their full potential. 

We know that for service-oriented companies, there are many steps to the business journey - from signing new customers, delivering service in the field, to invoicing, and everything in between. We also know that gaining new customers requires even more: brand awareness, digital marketing, and lead generation. 

At WorkWave, we’ve brought together multiple organizations (RealGreen, Coalmarch, Slingshot, TEAM Software, and TaskEasy), top talent, and a leading product portfolio under one roof to guarantee that we are the best partner to our customers, powering their growth at every stage.

WorkWave is a champion for field service companies everywhere and has been recognized with multiple awards for our outstanding products, growth, and culture. For more information visit workwave.com.",Software Development,"1,001-5,000 employees",1984,
Cottage,Empowering Homeowners and Pros to build more and build better,https://www.linkedin.com/jobs/cottage-jobs-worldwide?f_C=31350247&trk=top-card_top-card-primary-button-top-card-primary-cta,"Cottage was founded with the belief that there had to be a better way for homeowners and pros to work together. We are building a SaaS-enabled marketplace that allows homeowners to design online, get upfront pricing and access vetted contractors who run their business on our platform. We're starting with Accessory Dwelling Units (ADUs), which provide much needed housing, a smart investment for homeowners and consistent work for pros.",Consumer Services,11-50 employees,"Accessory Dwelling Units, Homeowner Design, and ADU Design",
Klook,Your World of Joy,https://www.linkedin.com/jobs/klook-jobs-worldwide?f_C=3829760&trk=top-card_top-card-primary-button-top-card-primary-cta,"Klook is Asia's leading travel and experiences platform. We curate the most joyful experiences so that users can satisfy their relentless curiosity for adventure and experiences at home and around the world. With our website and app, users can experience a world of joy, from attractions, tours to local transportation and stays. Founded in 2014, we are here to inspire and enable more moments of joy through over 530,000 activities in over 2,300 destinations.",Travel Arrangements,"1,001-5,000 employees",2014,"ecommerce, travel tech, local experiences, technology, experiences, marketing, business development, and software engineering"
Flowhub,The cannabis retail platform for modern dispensaries. Making safe cannabis products accessible to every adult on Earth.,https://www.linkedin.com/jobs/flowhub-jobs-worldwide?f_C=4812785&trk=top-card_top-card-primary-button-top-card-primary-cta,"At Flowhub, we’re on a mission to make safe cannabis product accessible to everyone on planet Earth. 

Flowhub is the leading cannabis technology company partnering with dispensaries nationwide to provide compliance, point of sale, payments, inventory tracking, and retail management solutions. 

Founded by Kyle Sherman in 2015, Flowhub pioneered the first Metrc API integration and the Nug Pro®, the cannabis industry's first mobile scanner device for streamlining daily workflows. Today, Flowhub processes over $3 billion in cannabis sales annually, empowering more than 1,000 cannabis retailers to automate operations, increase revenue, and create the best dispensary experience possible. 

Flowhub is on the frontlines of ending cannabis prohibition and is proud to be a founding director of both the Cannabis Trade Federation and the U.S. Cannabis Council, in addition to awarding over $5 million in free software through its Social Equity Program to support underrepresented dispensary owners. 

Flowhub is a privately held, remote-first company. Investors include Headline, Poseidon, Shawn ""Jay-Z"" Carter, and Evolv Ventures (The Kraft Heinz Company venture arm), the founders of Venmo, and more. 

For more information visit flowhub.com.",Software Development,51-200 employees,2015,"cannabis, compliance, metrc, point of sale, inventory management, software, enterprise technology, retail technology, dispensary technology, dispensary partner, cannabis technology, cannabis compliance, dispensary payments, cannabis payments, payment solutions, and cannabis compliance"
Strive,"Talent partner to some of the most disruptive, VC backed tech companies across the globe.",https://www.linkedin.com/jobs/strive-jobs-worldwide?f_C=18376135&trk=top-card_top-card-primary-button-top-card-primary-cta,"We build world-class go-to-market teams for some of the most disruptive, Venture Capital Backed tech companies, all over the world.",Staffing and Recruiting,11-50 employees,2018,"recruitment, sales, people, staff, hiring, and careers"
Skai,Media that matters. Marketing that works.,https://www.linkedin.com/jobs/skai-jobs-worldwide?f_C=167470&trk=top-card_top-card-primary-button-top-card-primary-cta,"Skai empowers leading brands and agencies around the world to manage enterprise-level, omnichannel digital campaigns across all walled garden media. Backed by nearly two decades of innovation, we support marketers with insights they can use, data they can trust, and impact they can measure on the media that matters. Our marketing platform includes solutions for retail media, paid search, paid social, and app marketing. 

We work alongside the largest brands and publishers to solve the industry’s biggest challenges. Founded on our core values of innovation, integrity, passion, and humility, we are a global team of professionals passionate about doing good work and doing the right thing. Skai is the combined entity of former companies Kenshoo and Signals Analytics, each with a long history of first-to-market innovation.",Software Development,"501-1,000 employees","digital marketing technology, SEM, search marketing, social media advertising, online advertising, internet advertising technology, social network ads, mobile marketing, display advertising, retail media, market intelligence, consumer intelligence, market insights, data analytics, incrementality testing, and SEM technology",
Boston Celtics,The Official LinkedIn page of the 17-Time World Champions,https://www.linkedin.com/jobs/boston-celtics-jobs-worldwide?f_C=20242&trk=top-card_top-card-primary-button-top-card-primary-cta,"The Boston Celtics, based in Boston, MA, are a professional basketball team that plays in the National Basketball Association’s (NBA) Eastern Conference Atlantic Division. One of the NBA’s original franchises, the Celtics hold more titles than any other team in the league with 17 World Championship banners hanging in the rafters at the team’s arena, the TD Garden. 

There is nothing like experiencing the energy in the TD Garden at a Boston Celtics game. To explore ticket options including Season Ticket Membership, Premium Seating and other ticket packages visit celtics.com.",Spectator Sports,51-200 employees,1946,"NBA Basketball, Live Events, Social Media, Integrated Marketing, Professional Sports, content marketing, and sponsorship"
Vimeo,not-found,https://www.linkedin.com/jobs/vimeo-jobs-worldwide?f_C=167813&trk=top-card_top-card-primary-button-top-card-primary-cta,Vimeo is the world's most innovative video experience platform. We enable anyone to create high-quality video experiences to better connect and bring ideas to life. We proudly serve our community of millions of users – from creative storytellers to globally distributed teams at the world's largest companies – whose videos receive billions of views each month.,Software Development,"1,001-5,000 employees",,
Pinwheel,The Primacy Platform,https://www.linkedin.com/jobs/pinwheel-jobs-worldwide?f_C=30603674&trk=top-card_top-card-primary-button-top-card-primary-cta,"Pinwheel helps banks win primacy with user-centric solutions that deepen relationships and grow lifetime value. Pinwheel's market leading digital deposit switch solution, used by the world's leading financial institutions, delivers 2x better conversion than the industry standard, greater security, and first-of-its kind share of wallet insights to power customer engagement programs to new heights.",Software Development,51-200 employees,,
Amount,Empowering the future of modern banking.,https://www.linkedin.com/jobs/amount-jobs-worldwide?f_C=33266203&trk=top-card_top-card-primary-button-top-card-primary-cta,"Amount accelerates seamless omnichannel customer experiences with a full suite of end-to-end retail banking and point-of-sale solutions. 

Power new and unique digital banking experiences in just months--not years.",Financial Services,201-500 employees,2020,
Paperchase,"Working exclusively with restaurants, bars, pubs & hotels to enhance their performance & development.",https://www.linkedin.com/jobs/paperchase-jobs-worldwide?f_C=1900065&trk=top-card_top-card-primary-button-top-card-primary-cta,"Paperchase Accountancy is a leading hospitality accountancy and consultancy firm. For the last 30 years we have been helping restaurants, pubs, bars and hotels open, manage and grow their operations by providing a suite of bespoke projection, analytical and bookkeeping services. 

We combine our in-depth hospitality knowledge and financial expertise to support more than 450 hospitality clients around the world, including Europe, America, the Middle East, Africa & Asia. Our diverse client base collectively have over 25 Michelin Stars and range from brand new start-ups to multi-chains and high profile establishments. Some of our clients include  Zuma, Wasabi, Dishoom, Roka, The Ledbury, José Pizarro and Amazonico.

Connect with us today to explore how we can help your hospitality business.",Accounting,"501-1,000 employees",1989,"Monthly Management Report and Accounts, Weekly Management Accounts, Payroll, and Suppliers"
HB NEXT,"Your #1 partner for safety, environmental, training, software and legal needs.",https://www.linkedin.com/jobs/hb-next-jobs-worldwide?f_C=720078&trk=top-card_top-card-primary-button-top-card-primary-cta,"Headquartered in Atlanta, Georgia, HB NEXT is a technology-enabled solutions company, supporting the construction, industrial and utility industries.  

The Nation’s leading Compliance-as-a-Service (CaaS) company. ""CaaS"" was created by HB NEXT to take a hands-on role in managing Clients’ regulatory (DOT, OSHA, EPA) and operational compliance to minimize risk, protect business owners, lower insurance premiums, and alleviate administrative burdens on existing teams; all for a fraction of the costs to hire a full-time employee. 

CaaS combines expert consulting services, administrative support, program oversight, and a universally configurable Compliance Management Platform (Sequence) to ensure that all the fundamental programs, policies, and processes for a company are in place, operational, and managed properly.",Construction,51-200 employees,1999,"Safety Services, Environmental Services, Training, Software Solutions, Utility Services, Legal, OSHA, DOT, and EPA"
RevenueWell,"Trusted by dental pros everywhere, an all-in-one dental marketing platform. Grow your practice with RevenueWell.",https://www.linkedin.com/jobs/revenuewell-jobs-worldwide?f_C=1183856&trk=top-card_top-card-primary-button-top-card-primary-cta,"We're your practice growth partner to help you achieve your top priorities. 

Generate new patients: Attract and convert the right new patients with Revenuewell’s digital marketing services. Our ADA Member Advantage endorsed services will help you stand out from the competition and strengthen your practice reputation.

Maximize practice performance: Increase patient production and turn your patients into lifelong ones with a patient engagement platform. It includes tools and content that help you discover untapped revenue opportunities, automate your patient communications, and fill your chairs with the right patients.

Simplify your front office operations: Make life easier for you and your patients with automation. Our tools automate your most manual and repetitive tasks and workflows that are a headache for you and your patients. This gives you more time to do the work you love and more time to spend with your patients.  

Set your dental practice apart with RevenueWell.",Software Development,51-200 employees,2010,"Marketing Automation, Automatic Patient Communications, Business Phone Systems, Dental Website Design, Digital Marketing, Dental Patient Relationship Management, HIPAA Compliant Forms, Secure Email, PPC, SEO, Social Media Marketing, Practice Branding, Practice Marketing, and Teledentistry"
Stripe,Help increase the GDP of the internet.,https://www.linkedin.com/jobs/stripe-jobs-worldwide?f_C=2135371&trk=top-card_top-card-primary-button-top-card-primary-cta,"Stripe is a financial infrastructure platform for businesses. Millions of companies—from the world’s largest enterprises to the most ambitious startups—use Stripe to accept payments, grow their revenue, and accelerate new business opportunities. Headquartered in San Francisco and Dublin, the company aims to increase the GDP of the internet.","Technology, Information and Internet","1,001-5,000 employees",2010,
Swell,Modernizing experience management for healthcare by optimizing the way they capture public reviews and private feedback,https://www.linkedin.com/jobs/swell-jobs-worldwide?f_C=17937029&trk=top-card_top-card-primary-button-top-card-primary-cta,"Swell automatically gathers private and public feedback from patients and employees. With better feedback, practices can boost their online reputations, enhance the patient experience, and improve employee satisfaction.",Software Development,51-200 employees,2016,"Online Review Management, Online Reputation Management, Local SEO, Marketing tools, Customer Feedback, VoC, Customer Experience, CX, Journey of the customer, One Click Feedback, NPS, Net Promoter Score, Voice of Customer, and Real-Time Feedback"
Hammerspace,"A High Performance, Global Data Environment connecting data with users and applications, anywhere, anytime.",https://www.linkedin.com/jobs/hammerspace-jobs-worldwide?f_C=18568362&trk=top-card_top-card-primary-button-top-card-primary-cta,"Hammerspace delivers a global data environment which spans across data centers, AWS, Azure, and Google cloud infrastructure. With origins in Linux, NFS, open standards, flash and deep file system and data management technology leadership, Hammerspace delivers the world’s first and only solution to connect global users with their data and applications, on any existing data center infrastructure or AWS, Azure and Google services.",IT Services and IT Consulting,51-200 employees,2018,"Cloud, Data Management, Cloud Storage, Object Storage, File Storage, Parallel File System, and Hyperscale NAS"
Accomplishr,"Do More, Together",https://www.linkedin.com/jobs/accomplishr-jobs-worldwide?f_C=91454990&trk=top-card_top-card-primary-button-top-card-primary-cta,"Accomplishr.com offers a unique value proposition for Trainers, Coaches, and Mentors, positioning itself as an innovative platform where expertise meets opportunity. By joining Accomplishr, professionals can leverage a suite of exclusive tools designed to enhance engagement and facilitate growth. The platform stands out by fostering a collaborative community, enabling members to shape their future and others. Accomplishr offers a distinct competitive edge, empowering professionals to expand their reach and impact in a dynamic environment.
 
The benefits of joining Accomplishr.com for Trainers, Coaches, and Mentors include the ability to attract more clients through a dedicated platform, expand professional networks by connecting with peers and potential clients, and grow their businesses by leveraging innovative tools and a supportive community. This platform offers a unique environment to enhance visibility and engagement, enabling professionals to achieve greater impact and success in their endeavors",Internet Marketplace Platforms,51-200 employees,,
Cymulate,"Empowering companies to manage, control, and optimize their cybersecurity posture end-to-end.",https://www.linkedin.com/jobs/cymulate-jobs-worldwide?f_C=10868396&trk=top-card_top-card-primary-button-top-card-primary-cta,"Designed for companies that want to manage their security posture against the evolving threat landscape. Cymulate's SaaS-based platform deploys within an hour, enabling security professionals to continuously challenge, validate and optimize their cybersecurity posture end-to-end across the MITRE ATT&CK® framework.  

The platform provides threat intelligence-led risk assessments that are simple to deploy out-of-the-box, and for all maturity levels. It also provides an open framework to create and automate red and purple teaming by generating penetration scenarios and advanced attack campaigns tailored to their unique environments and security policies. 

Cymulate allows professionals to manage, know and control their dynamic environment.",Computer and Network Security,201-500 employees,2016,"Cyber Posture, Cyber Attack Simulation, Security posture assessment, breach and attack simulation, validate controls, security validation, security risk assessment, cyber risk assessment, security testing, security controls, security threat assessment, cyber intelligence, bas, breach and attack simulation, cyber threat assessment, it security assessment, and automated penetration testing"
Notion,"The connected workspace for your docs, projects, and knowledge.",https://www.linkedin.com/jobs/notion-jobs-worldwide?f_C=30898036&trk=top-card_top-card-primary-button-top-card-primary-cta,"Notion blends your everyday work tools into one. Product roadmap? Company wiki? Meeting notes? With Notion, they're all in one place, and totally customizable to meet the needs of any workflow. It's the all-in-one workspace for you, your team, and your whole company. 

We humans are toolmakers by nature, but most of us can't build or modify the software we use every day — arguably our most powerful tool. Our team at Notion is on a mission to make it possible for everyone to shape the tools that shape their lives.",Software Development,"501-1,000 employees",2016,
Assembled,We help modern organizations scale great customer support.,https://www.linkedin.com/jobs/assembled-jobs-worldwide?f_C=26571599&trk=top-card_top-card-primary-button-top-card-primary-cta,"At Assembled, we’re on a mission to create a support operations platform that helps companies maintain exceptional customer experiences—no matter what lies ahead. Leading brands use Assembled’s workforce and vendor management capabilities to make optimal staffing decisions, gain visibility into performance and productivity, and unlock new ways to serve evolving customer needs. 

Assembled is a fast-growing, fast-moving, empathy-driven startup that encourages transparent communication, bias toward action, and open disagreements (without the ego). Come help us build for the teams who are quietly carrying their companies each day—and for the customers who just want answers! You’ll be joining a special group of people who learned the ropes at companies like Stripe, Google, Palantir, Atlassian, Twitter, Airbnb, Looker, NEA, Bain, and more.",Software Development,51-200 employees,2018,
Oppizi,Technology powering offline Marketing 📈,https://www.linkedin.com/jobs/oppizi-jobs-worldwide?f_C=4855764&trk=top-card_top-card-primary-button-top-card-primary-cta,"Oppizi is the leading platform that enables data-driven offline marketing campaigns.

On top of the logistics and distribution services, Oppizi has developed a technology that tracks, scales and optimizes highly targeted flyer campaigns and provides full transparency across all types of offline marketing such as Street Flyering, Brand Activations or Direct Mailing.

Currently operating in the US, in Australia, in New Zealand, in the United Kingdom, in Belgium and in France. 

Trusted by Uber, DoorDash, DiDi, The Iconic, Airtasker, Marley Spoon, MealPal, HelloFresh and many others...",Advertising Services,51-200 employees,2014,"Marketing, Strategy, Marketplace, Flyers, Offline, Customer Acquisition, Performance Marketing, and Martech"
Insight Global,A leading global staffing company dedicated to empowering people,https://www.linkedin.com/jobs/insight-global-jobs-worldwide?f_C=82285410%2C43300664%2C11056&trk=top-card_top-card-primary-button-top-card-primary-cta,"Insight Global is an international staffing and services company specializing in sourcing IT, accounting, finance, healthcare, and engineering professionals and delivering service-based solutions to Fortune 1000 clients. With more than 70 office locations throughout the U.S,. Canada, and U.K., Insight Global placed more than 50,000 people in jobs in 2022. In addition to staffing services, Insight Global provides culture consulting, DEI training, specialized healthcare staffing and resources, and an array of client programs through our managed services division, Evergreen. To find out more, visit www.insightglobal.com",Staffing and Recruiting,"1,001-5,000 employees",2001,"IT Staffing, Engineering Staffing, Government Staffing, Managed Services, IT Outsourcing, Recruitment Processing Outsourcing (RPO), Enhanced Staffing Solutions (ESS), Consultative Services, Project & Program Management, Recruiting, Accounting and Finance Staffing, Job Placement, Contract Opportunities, Jobs, Careers, Healthcare, and Sales"
Slang.ai,"Answer every call intelligently, with AI.",https://www.linkedin.com/jobs/slang%2Eai-jobs-worldwide?f_C=14069635&trk=top-card_top-card-primary-button-top-card-primary-cta,"Calling a business shouldn't be a frustrating experience. With AI, there's a better way. That’s why we started Slang.ai. Our mission is to transform the phone into a channel that is personalized, efficient, and delightful.

Get set up in 30 minutes or less and let Slang.ai's virtual concierge help you deliver a personalized and delightful customer experience. Never miss a call again.","Technology, Information and Internet",11-50 employees,2019,"automation, voice, restaurants, eCommerce, conversational ai, and virtual assistant"
Stealth,not-found,https://www.linkedin.com/jobs/stealth-jobs-worldwide?f_C=91313799&trk=top-card_top-card-primary-button-top-card-primary-cta,In stealth,Software Development,2-10 employees,,
Kargo,Kargo turns real freight into real-time data. Follow us to advance your logistics.,https://www.linkedin.com/jobs/kargo-jobs-worldwide?f_C=30599057&trk=top-card_top-card-primary-button-top-card-primary-cta,"For logistics to meet demand, the world needs infrastructure that doesn’t exist yet. Kargo is building that infrastructure. 

Our work advances the farthest edge of logistics technology, aligning freight and data in real time.

With Kargo’s machine vision system, you can optimize shipping and receiving at every loading dock for network effects across supply chains. 

👀 VERIFY SHIPMENT ACCURACY WITH COMPUTER VISION

As freight is loaded and unloaded, Kargo Towers capture the action, translating any label or mark into data you can use on the Kargo Platform and your own ERP, WMS, TMS, and YMS. 

Towers flag discrepancies right at the loading dock so you can stop exceptions in their tracks. Images and videos give context to any shipment.

🚀 AUTOMATE SHIPPING AND RECEIVING 

Extend your capabilities with automated data capture at every step: 

- Eliminate hand-scanning
- Sync with partners
- Simplify check-in and out
- Access data instantly

Kargo sees and validates multiple freight attributes as forklifts load and unload trucks. Integrations let you connect shipping and receiving end to end.

📈 UNLOCK NETWORK EFFECTS

As Kargo Towers capture data across facilities, you can surface trends and gain insights into operations and partnerships.

Embrace continuous improvements and discover how Kargo helps build accuracy and efficiency across logistics.

For more, visit mykargo.com","Transportation, Logistics, Supply Chain and Storage",51-200 employees,2019,"computer vision, supply chain visibility, logistics technology, and automation"
"Trigenx, LLC",Helping new technology convert patents to business opportunities,https://www.linkedin.com/jobs/trigenx-llc-jobs-worldwide?f_C=98347741&trk=top-card_top-card-primary-button-top-card-primary-cta,"Trigenx specializes in launching new technology that has received a US patent and is looking to develop the business applications. Specialized fields of focus are chemistry, antimicrobials, disinfectants, engineering, airframe design, wind turbines, power management, micro-grid projects, commercial development.",Business Consulting and Services,2-10 employees,2018,engineering and power
Crexi,Transforming Technology for Commercial Real Estate,https://www.linkedin.com/jobs/crexi-jobs-worldwide?f_C=6459490&trk=top-card_top-card-primary-button-top-card-primary-cta,"Crexi is a robust marketplace and technology platform containing easy-to-use workflow management tools and customizable data analytics designed to streamline the #CRE process from listing to closing.

For more information visit www.crexi.com.",Software Development,201-500 employees,2015,"Online Real Estate Marketing and Sales Platforms, technology, SaaS, Software as a service, real estate, commercial real estate, insights, retail, multifamily, auctions, lease, buy, broker, land, comps, property, mixed use, office, restaurant, hospitality, CRE, startup, tech, special purpose, senior living, data, agent, real estate broker, real estate agent, marketing, and research"
